camara,comision,nombre,bloque,cargo
senado,De Deporte,"LEWANDOWSKI, Marcelo Néstor",JUSTICIALISTA,Vocal
senado,De Deporte,"UÑAC, Sergio Mauricio",JUSTICIALISTA,Vocal
senado,De Deporte,"DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,De Deporte,"LÓPEZ, Cándida Cristina",JUSTICIALISTA,Vocal
senado,De Deporte,"SALINO, Fernando Aldo",JUSTICIA SOCIAL FEDERAL,Vocal
senado,De Deporte,"MORENO, Elia Esther del Carmen",FRENTE CÍVICO POR SANTIAGO,Vocal
senado,De Derechos y Garantías,"CERVI, Mario Pablo",LA LIBERTAD AVANZA,Vocal
senado,De Derechos y Garantías,"MÁRQUEZ, Nadia Judith",LA LIBERTAD AVANZA,Vocal
senado,De Derechos y Garantías,"PAGOTTO, Juan Carlos",LA LIBERTAD AVANZA,Vocal
senado,De Derechos y Garantías,"MONTEVERDE, Agustín Aníbal",LA LIBERTAD AVANZA,Vocal
senado,De Derechos y Garantías,"ATAUCHE, Ezequiel",LA LIBERTAD AVANZA,Vocal
senado,De Derechos y Garantías,"HUALA, María Victoria",FRENTE PRO,Vocal
senado,De Derechos y Garantías,"ABAD, Maximiliano",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Derechos y Garantías,"FAMA, Flavio Sergio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Derechos y Garantías,"SUÁREZ, Rodolfo Alejandro",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Derechos y Garantías,"TERENZI, Edith Elizabeth",DESPIERTA CHUBUT,Vocal
senado,De Derechos y Garantías,"MOISÉS, María Carolina",CONVICCIÓN FEDERAL,Vocal
senado,De Derechos y Garantías,"KIRCHNER, Alicia Margarita Antonia",JUSTICIALISTA,Vocal
senado,De Derechos y Garantías,"CORPACCI, Lucía Benigna",JUSTICIALISTA,Vocal
senado,De Derechos y Garantías,"FERNÁNDEZ SAGASTI, Anabel",JUSTICIALISTA,Vocal
senado,De Derechos y Garantías,"LINARES, Carlos Alberto",JUSTICIALISTA,Vocal
senado,De Derechos y Garantías,"RECALDE, Mariano",JUSTICIALISTA,Vocal
senado,De Economía Nacional e Inversión,"ABDALA, Bartolomé Esteban",LA LIBERTAD AVANZA,Vocal
senado,De Economía Nacional e Inversión,"MONTEVERDE, Agustín Aníbal",LA LIBERTAD AVANZA,Vocal
senado,De Economía Nacional e Inversión,"ARRASCAETA, Ivanna Marcela",LA LIBERTAD AVANZA,Vocal
senado,De Economía Nacional e Inversión,"ALVAREZ RIVERO, Carmen",LA LIBERTAD AVANZA,Vocal
senado,De Economía Nacional e Inversión,"GUZMÁN CORAITA, Gonzalo",LA LIBERTAD AVANZA,Vocal
senado,De Economía Nacional e Inversión,"JURI, Mariana",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Economía Nacional e Inversión,"KRONEBERGER, Daniel Ricardo",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Economía Nacional e Inversión,"GALARETTO, Eduardo Horacio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Economía Nacional e Inversión,"ANDRADA, Guillermo Eduardo",CONVICCIÓN FEDERAL,Vocal
senado,De Economía Nacional e Inversión,"CORROZA, Julieta",LA NEUQUINIDAD,Secretario/a
senado,De Economía Nacional e Inversión,"BAHL, Adán Humberto",JUSTICIALISTA,Vocal
senado,De Economía Nacional e Inversión,"SORIA, Martín",JUSTICIALISTA,Vocal
senado,De Economía Nacional e Inversión,"MAYANS, José Miguel Ángel",JUSTICIALISTA,Vocal
senado,De Economía Nacional e Inversión,"RECALDE, Mariano",JUSTICIALISTA,Vocal
senado,De Economía Nacional e Inversión,"REJAL, Fernando",JUSTICIA SOCIAL FEDERAL,Vocal
senado,De Economía Nacional e Inversión,"GOERLING LARA, Enrique Martín",FRENTE PRO,Presidente
senado,De Economía Nacional e Inversión,"CAPITANICH, Jorge Milton",JUSTICIALISTA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","OROZCO, María Emilia",LA LIBERTAD AVANZA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","ALMEIDA, Romina María",LA LIBERTAD AVANZA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","BENEGAS LYNCH, Joaquín Alberto",LA LIBERTAD AVANZA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","GODOY, Juan Cruz",LA LIBERTAD AVANZA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","BEDIA, Vilma Facunda",LA LIBERTAD AVANZA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","CRISTINA, Andrea Marcela",FRENTE PRO,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","SUÁREZ, Rodolfo Alejandro",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","KRONEBERGER, Daniel Ricardo",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","VALENZUELA, Mercedes Gabriela",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","ANDRADA, Guillermo Eduardo",CONVICCIÓN FEDERAL,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","CORPACCI, Lucía Benigna",JUSTICIALISTA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","LÓPEZ, María Florencia",JUSTICIALISTA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","UÑAC, Sergio Mauricio",JUSTICIALISTA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","MARKS, Ana Inés",JUSTICIALISTA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","BAHL, Adán Humberto",JUSTICIALISTA,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","ZAMORA, Gerardo",FRENTE CÍVICO POR SANTIAGO,Vocal
senado,"De Economías Regionales, Economía Social, Micro, Pequeña y Mediana Empresa","ARCE, Carlos Omar",FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,Vocal
senado,De Educación y Cultura,"VALENZUELA, Mercedes Gabriela",UCR - UNIÓN CÍVICA RADICAL,Vicepresidente
senado,De Educación y Cultura,"ALVAREZ RIVERO, Carmen",LA LIBERTAD AVANZA,Vocal
senado,De Educación y Cultura,"MÁRQUEZ, Nadia Judith",LA LIBERTAD AVANZA,Vocal
senado,De Educación y Cultura,"ARRASCAETA, Ivanna Marcela",LA LIBERTAD AVANZA,Vocal
senado,De Educación y Cultura,"BEDIA, Vilma Facunda",LA LIBERTAD AVANZA,Vocal
senado,De Educación y Cultura,"ALMEIDA, Romina María",LA LIBERTAD AVANZA,Vocal
senado,De Educación y Cultura,"HUALA, María Victoria",FRENTE PRO,Vocal
senado,De Educación y Cultura,"ROJAS DECUT, Sonia Elizabeth",FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,Presidente
senado,De Educación y Cultura,"ÁVILA, Beatriz Luisa",INDEPENDENCIA,Vocal
senado,De Educación y Cultura,"MOISÉS, María Carolina",CONVICCIÓN FEDERAL,Vocal
senado,De Educación y Cultura,"DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,De Educación y Cultura,"FERNÁNDEZ SAGASTI, Anabel",JUSTICIALISTA,Vocal
senado,De Educación y Cultura,"GONZÁLEZ, María Teresa Margarita",JUSTICIALISTA,Vocal
senado,De Educación y Cultura,"GIMÉNEZ NAVARRO, María Celeste",JUSTICIALISTA,Vocal
senado,De Educación y Cultura,"LÓPEZ, Cándida Cristina",JUSTICIALISTA,Vocal
senado,De Educación y Cultura,"SALINO, Fernando Aldo",JUSTICIA SOCIAL FEDERAL,Vocal
senado,De Educación y Cultura,"FAMA, Flavio Sergio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Industria y Comercio,"ALMEIDA, Romina María",LA LIBERTAD AVANZA,Vocal
senado,De Industria y Comercio,"COTO, Agustín Pedro",LA LIBERTAD AVANZA,Vocal
senado,De Industria y Comercio,"CERVI, Mario Pablo",LA LIBERTAD AVANZA,Vocal
senado,De Industria y Comercio,"BENEGAS LYNCH, Joaquín Alberto",LA LIBERTAD AVANZA,Vocal
senado,De Industria y Comercio,"ABDALA, Bartolomé Esteban",LA LIBERTAD AVANZA,Vocal
senado,De Industria y Comercio,"VALENZUELA, Mercedes Gabriela",UCR - UNIÓN CÍVICA RADICAL,Vocal
